Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
Clearview Child Care Centre,"1300 Don Mills Rd ,211-215, 201   (Don Mills Rd / Bond Avenue)     ", Don Valley East,Izabela Bujari, 647-898-1883
Cliffcrest Day Care Centre,2938 Eglinton Ave E   (Eglinton E. / McCowan Rd.)     , Scarborough Centre,Irene Sheridan, 416-267-6293
Cliffwood Community Child Care,140 Cliffwood Rd   (Don Mills / Steeles E.)     , Don Valley North,Nancy Wilson, 416-490-8848
Club ABC (ABC Academy Queen B & A),"1921 Queen St E ,1919     ", Beaches-East York,Dorie Heffron, 416-484-0222
Cole Street Early Learning & Child Care Centre,10 Cole St   (Parliament/Dundas)     , Toronto Centre,Rose Belo-D'Amato, 416-392-5866
Columbus Early Learning Centres - Regina Mundi,70 Playfair Ave   (Dufferin / Lawrence)     , Eglinton-Lawrence,Shuyuan Sun, 416-789-7011
Columbus Early Learning Centres - St Charles,50 Claver Ave   (Lawrence Ave W / Corona Str)     , Eglinton-Lawrence,Ana Carina Costa, 416-717-0355
Columbus Early Learning - St Raphael,3 Gade Dr   (Keele St & Wilson St)     , York Centre,Bosompemaa Apea-Dankwa, 416-789-7011
Community Centre 55-Adam Beck,400 Scarborough Rd   (Victoria Park / Gerrard E.)     , Beaches-East York,Narni Santos, 416-691-1113 ext 231
Community Centre 55 - Children Services (97 Main Street),97 Main St   (Main / Gerrard)     , Beaches-East York,Narni Santos, 416-691-1113 ext 231
Community Centre 55 - Kimberly Public School,50 Swanwick Ave   (Main / Gerrard)     , Beaches-East York,Narni Santos, 416-691-1113 ext 231
Community Centre 55 -Ted Reeves Arena,175 Main St   (Main/Gerrard)     , Beaches-East York,Narni Santos, 416-691-1113 ext 231
Cottingham Child Care Centre,85 Birch Ave   (Yonge / Summerhill)     , Toronto-St. Paul's,Eric Mackey, 416-929-6841
Cougar Court Child Care Centre 15,"3225 Eglinton Ave E ,109   (Eglinton E. / Markham)     ", Scarborough-Guildwood,Kathy Mitchell, 416-267-0366
Cougar Court Child Care Centre 25,"3225 Eglinton Ave E ,109   (Eglinton E. / Markham)     ", Scarborough-Guildwood,Kathy Mitchell, 416-267-0366
Courtleigh Place Child Care Centre,135 Fenelon Dr   (Don Mills / York Mills)     , Don Valley East,Maria Hosein, 416-446-2875
Coxwell Early Learning & Child Care Centre,1631 Queen St E   (Queen E. / Coxwell)     , Beaches-East York,Courtney Sarpong, 416-392-5076
Creative Minds Montessori Academy,"285 Lawson Rd ,Unit 101     ", Scarborough-Rouge Park,Fathima Shaideen, 647-347-6068
Crestview School Age Program YMCA,101 Seneca Hill Dr   (Don Mills / Finch)     , Don Valley North,Sham Dhanji, 416-225-7773 ext 440
Curious Caterpillars - College View,28 College View Ave   (Avenue Rd/Eglinton Ave W)     , Toronto-St. Paul's,Marcia Ferreira, 647-344-8681
Curious Caterpillars - Petman Avenue,87 Petman Ave   (Eglinton/ Mt. Pleasant)     , Don Valley West,Dennielle Lacroix, 647-501-7386
Curlew Montessori School,81 Curlew Dr   (Lawrence E. / Victoria Park)     , Don Valley East,Raihana Mohideen, 416-385-7373
Dalemount Child Care,101 Englemount Ave   (Glencairn Ave. / Bathurst)     , Eglinton-Lawrence,Nancy Kuipers, 416-781-9493
Dandylion Childcare Centre,53 Donlands Ave   (Donlands / Danforth Ave.)     , Toronto-Danforth,Patrina Stathopoulos, 416-469-0091
Danforth Early Learning & Child Care Centre,1125 Danforth Ave   (Danforth Ave. / Greenwood Ave.)     , Toronto-Danforth,Tammy Lynn Borden, 416-392-5070
Danforth Gardens Playcare,20 Santamonica Blvd   (Birchmount Rd / Danforth Rd)     , Scarborough Southwest,Amy Sit, 416-755-9215 ext 257
Das Day Care/OperatorBrant Steet Day Care (Licence # 15021),85 Lower Jarvis St   (Jarvis / The Esplanade)     , Spadina-Fort York,Ayesha Bharmal, 416-368-9735
Davenport Perth Early Learning & Child Care Centre,1900 Davenport Rd   (Old Weston Rd. / Davenport)     , Davenport,Vilma Liberata Leone, 416-392-5066
David Lewis Jr YMCA,130 Fundy Bay Blvd   (Birchmount / McNicoll)     , Scarborough-Agincourt,Debbie Cheung, 416-490-1624
Davisville Care Programme Inc.,50 Davisville Ave     , Toronto-St. Paul's,Donna Boyce, 416-489-2620
Dawes Road Centre For Early Learning,391 Dawes Rd   (Dawes Rd. / Victoria Park)     , Beaches-East York,Faye Latorilla, 416-755-8348 ext 221
Daystrom Childcare Centre,25 Daystrom Dr     , Humber River-Black Creek,Joyce Gee, 416-785-2420
Dearham Wood Daycare,66 Dearham Wood   (Galloway Rd. / Guildwood Prky.)     , Scarborough-Guildwood,Nafeeza Ali, 416-283-7207
Deer Park Extended Primary Education Program,"23 Ferndale Ave ,105   (Yonge / St. Clair)     ", Toronto-St. Paul's,Katie Jackson, 416-922-9569
Denisa Childcare,1065 College St     , Davenport,Ilda Dukaj, 416-535-2228
Denlow Community Child Care Centre,50 Denlow Blvd   (Leslie / York Mills)     , Don Valley West,Katherine Cheung, 416-443-9394
Denton Place Centres For Early Learning Inc.,30 Denton Ave   (Danforth Ave. / Victoria Park)     , Scarborough Southwest,Charmaine Calim, 416-686-6445 ext 221
Derrydown School Age YMCA,120 Derrydown Rd   (Keele / Finch)     , Humber River-Black Creek,Rockey Persaud, 437-225-8035
Dewson Street YMCA,65 Concord Ave   (College St. / Ossington)     , Davenport,Stella Alaimo, 416-536-1166 ext 440
Dian Childcare Centre Inc.,283 Pharmacy Ave   (Pharmacy / Danforth Ave.)     , Scarborough Southwest,Dorothy Amaechi, 416-615-1141
Discovering Minds Montessori Preschool Inc.,"828 Richmond St W ,100   (Queen St W And Strachan Ave)     ", Spadina-Fort York,Guadalupe Rengifo, 416-504-0110
Discovery Place Child Care Centre Ltd.,22 Tuxedo Crt   (Markham / Hwy. 401)     , Scarborough-Guildwood,Arlene Rottine, 416-439-0521
Distillery District Early Learning Centre,8 Distillery Lane   (Front St. E. / Parliament)     , Spadina-Fort York,Susana De Sousa, 416-360-4042
Donald C. Macdonald Child Care Centre,116 Industry St   (Black Creek / Trethewey Dr.)     , York South-Weston,Diana Lurde, 416-769-2328
Don Mills Children's Centre,33 Kern Rd   (Don Mills / York Mills)     , Don Valley East,Sheena Ramai, 416-386-9744
Don Valley Christian Child Care,25 Axsmith Cres   (Don Mills / Van Horne)     , Don Valley North,Lisa Mathieu, 416-491-6485
Dover Gardens Nursery School,228 Bartlett Ave   (Dupont St. / Dufferin St.)     , Davenport,Nikki Pimentel, 416-533-7337
Downsview Child Care Centre,159 Sir William Hearst Ave   (Keele St/Wilson Avenue)     , York Centre,Angie Polsinelli, 416-235-5662
"Downtown Kids Academy, Inc.","905 King St W ,Suite 101   (King W. / Strachan Ave.)     ", Spadina-Fort York,Tracy Lund-Pedersen, 416-345-9973
Downtown Montessori At Coatsworth (Formerly Ward Nine -Coatsworth),11 Coatsworth Cres   (Coxwell / Danforth Ave.)     , Beaches-East York,Franca Tarantino, 416-694-9444
Downtown Montessori At Concord City Place,335 Bremner Blvd   (Spadina / Bremner)     , Spadina-Fort York,Irene Irwin, 416-623-1738
Downtown Montessori At Infinity Place (Day Care Connection),26 Grand Trunk Cres   (Bremner Blvd / Simcoe)     , Spadina-Fort York,Mangit Singh-Dhaliwal, 416-849-3692
Downtown Montessori At Simcoe Place,200 Front St W   (Front / Simcoe)     , Spadina-Fort York,Christina Shroen, 416-340-8757
Dr Eric Jackman Institute Of Child Study Laboratory School Nursery,45 Walmer Rd     , University-Rosedale,Chris Bogert, 416-934-4512
Dublin Heights Community Child Care,100 Bainbridge Ave   (Sheppard W / Wilson Heights Bl)     , York Centre,Regina Wong, 416-638-0612 ext 0
Dundas Kindergarten Enrichment Program,935 Dundas St E   (Dundas E. / Broadview)     , Toronto-Danforth,Amanda Persad, 416-469-8417
Dunlace Children's Centre,20 Dunlace Dr   (Leslie / York Mills)     , Don Valley West,Sandra Wright-Weathered, 416-445-7976
Dunloe Children's Centre,78 Dunloe Rd   (Spadina / Eglinton W.)     , Toronto-St. Paul's,Lisa Cohen, 416-483-6559
Earl Haig Community Day Care (15 Earl Haig Avenue),15 Earl Haig Ave   (Danforth Ave. / Coxwell)     , Beaches-East York,Kim Smith, 416-694-9572 ext 100
Early Adventures Nursery School & Child Care,200 Melrose St   (Royal York / Evans)     , Etobicoke-Lakeshore,Jenny Lewis, 416-251-5151
Early Enrichment Day Care (St. John's West Toronto),288 Humberside Ave   (Humberside / High Park)     , Parkdale-High Park,Theressa Amaral, 416-762-8125
Early Foundations Learning Centre,25 Thunder Grove     , Scarborough North,Aaida Ilizirov, 416-299-0547
Early Years Education System (E.Y.E.S),3000 Victoria Park Ave   (Victoria Park & Finch Ave. E)     , Don Valley North,Milon Nahar, 416-498-5437
East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,20 Waldock St   (Galloway Rd. / Kingston Rd.)     , Scarborough-Guildwood,Keisha Smith, 416-287-0007
East Scarb. Child Care Centre - East Scarb. Boys & Girls Club,230 Morningside Ave   (Morningside / Lawrence E.)     , Scarborough-Guildwood,Taiseer Maju, 416-282-9998
Eastside Club Day Care - 100 Galloway Road,100 Galloway Rd     , Scarborough-Guildwood,Savita Joseph, 416-287-0007
East Toronto Village Children's Centre,43 Kimberley Ave   (Gerrard / Main)     , Beaches-East York,Linda Delany, 416-694-1733
East York Montessori School,"486 Cosburn Ave ,484     ", Toronto-Danforth,Melissa Petridis, 416-888-3535
Eco Kidz Stem Nursery School,475 Rathburn Rd     , Etobicoke Centre,Helen Valdez, 416-725-1772
Edgeley Early Learning & Child Care Centre,405 Driftwood Ave   (Jane / Driftwood)     , Humber River-Black Creek,Nicola Wright, 416-392-6271
Educare Kindergarten - Islington,2825 Islington Ave   (Islington / Finch W.)     , Humber River-Black Creek,Mary Belfiore, 416-749-0415
Educare Kindergarten - Rathburn,18 Four Seasons Pl   (Burnhamthorpe And 427)     , Etobicoke Centre,Theresa McWilliams, 416-620-0072
Eh To Zed Preschool Canada Early Learning Academy,"3 Concorde Gate ,108     ", Don Valley East,Dina Musa, 416-447-6474
Eitz Chaim Schools Vm,1 Viewmount Ave     , Eglinton-Lawrence,Survana Nimkar, 416-225-1187 ext 330
Elder Tree Montessori,46 Mimico Ave   (Royal York / Lake Shore Blvd W)     , Etobicoke-Lakeshore,Stephanie Antunes, 416-255-4748
Elkhorn Junior Y - (YMCA),10 Elkhorn Dr   (Bayview / Sheppard)     , Don Valley North,Garcia Sitcheron, 416-229-6324
"Ellesmere-Statton Public School, Extended Day Program",739 Ellesmere Rd   (Birchmount & Ellesmere)     , Scarborough Centre,437-339-4015 or email, nicole.bharatt@tdsb.on.ca
Emery Early Learning & Child Care Centre,3395 Weston Rd   (Finch / Weston Rd.)     , Humber River-Black Creek,Cathy Davad, 416-392-3370
Engaging Minds Child Care,"29 Gervais Dr ,104   (Wynford Dr/Don Mills Rd)     ", Don Valley East,Lisa Blais, 647-830-4435
Enjoy Learning Centre,"27 Passmore Ave ,Unit #1   (Steeles E. / Kennedy Rd.)     ", Scarborough-Agincourt,Cecilia Ho-Leung, 416-840-8488
Enquiring Minds Montessori,24 Progress Ave     , Scarborough Centre,Hogan Danielle, 416-298-9938
Enriched Child Care Learning Centre,"6030 Bathurst St ,Suite 115   (Bathurst / Steeles W.)     ", York Centre,Nadia Yaqub, 416-650-5355
Epiphany Of Our Lord Jr YMCA,3150 Pharmacy Ave   (Pharmacy Ave. / Finch Ave. E.)     , Scarborough-Agincourt,Rakhi Bhattacharya, 416-493-3008
Ernie Boccia Creative Child Day Care (Rasheda Alli),1 Northwestern Ave   (Keele / Eglinton W.)     , York South-Weston,Samantha Hamid, 416-653-6305
Esterbrooke Child Care,"35 Esterbrooke Ave ,Suite 111   (Don Mills / Sheppard E.)     ", Don Valley North,Fatemeh Ashtari, 416-492-1109
Etobicoke Montessori School,4 La Rose Ave   (Eglinton W. / Scarlett Rd.)     , Etobicoke Centre,Christina Zentena, 416-246-9896
Eyes Abacus Child Care,20 Chichester Pl     , Scarborough-Agincourt,Simranjit Kaur, 416-497-1474
Eyet - Crescent Town Centre,2A The Market Pl   (Victoria Park Ave/Danforth Av)     , Beaches-East York,Sara Stringer, 647-696-4777
"Eyet Early Learning Centre,  Crescent Town Elementary School","4 Massey Sq ,Rms 135 & 136   (Victoria Park/Danforth Ave.)     ", Beaches-East York,Christine Bouffard, 416-270-8671
Eyet Early Learning Centre (Annies Place),"101 Barrington Ave ,120   (Danforth Ave. / Main)     ", Beaches-East York,Jinnat Basher, 647-258-9988
Eyet Early Learning Centre (Tom's Place),"80 Sackville St ,Room 105   (Queen / Parliament)     ", Toronto Centre,Razia Chowdhury, 416-668-7087
Fairbank Memorial Day Care Centre,555 Harvie Ave   (Eglinton / Dufferin)     , Davenport,Ashraf Rahim, 416-656-8675
Fairmount Sunshine Child Care,31 Sloley Rd   (Kingston Rd. / McCowan)     , Scarborough Southwest,Colleen Pearson, 416-265-3572
Faith Lutheran Day Care Centre Of Downsview,96 Hucknall Rd   (Finch / Keele)     , Humber River-Black Creek,Carron Allen, 416-633-4718
Falstaff Early Learning & Child Care Centre,10 Falstaff Ave   (Jane / Wilson)     , York South-Weston,Maria Magill, 416-392-5688
Family Day Kennedy Extended Day & School Age Program,20 Elmfield Cres   (Warden Ave And Steeles Ave E)     , Scarborough-Agincourt,Shala Hashimi, 416-297-9660
Family Day St Barnabas Child Care Centre,30 Washburn Way     , Scarborough North,Issa Marie Mendoza, 416-298-6521
Fantasia Child Care Center (2724826 Ontario Inc),678 Sheppard Ave W     , York Centre,Oleksandra Polonska, 416-519-3400
Faywood Boulevard Child Care Centre,95 Faywood Blvd   (Wilson Heights / Wilson Ave.)     , York Centre,Neyda Alvarez, 416-633-8420
Fenside Drive Children's Centre,131 Fenside Dr   (Victoria Pk / York Mills)     , Don Valley East,Sue Schanderl, 416-444-2441
Ferncliff Daycare And After School Group,128 Fern Ave   (Roncesvalles / Queen W.)     , Parkdale-High Park,Dayna Drago, 416-588-1463
Finch Business Park Child Care,"1183A Finch Ave W ,100   (Finch W. / Keele St.)     ", York Centre,Angie Perciballi, 416-739-1478
Finch Flyers Child Care Program,277 Finch Ave E   (Finch W. / Bayview)     , Willowdale,Elana Kuran, 416-225-8778
Firgrove Early Learning & Child Care Centre,4 Cane Grassway   (Jane / Finch)     , Humber River-Black Creek,Telccs Firgrove Supervisor, 416-392-5683
"Firgrove Public School, Extended Day Program",270 Firgrove Cres   (Jane / Finch)     , Humber River-Black Creek,416-803-2147 or email, susie.surette@tdsb.on.ca
Firgrove Satellite Early Learning & Child Care Centre,270 Firgrove Cres   (Jane / Finch)     , Humber River-Black Creek,Telccs Firgrove Satellite, 416-392-6259
First Stage - Burnhamthorpe,500 The East Mall   (The East Mall / Burnhamthorpe)     , Etobicoke Centre,Sonia Carreiro, 416-394-7534
First Stage Child Care Centre - Highfield,85 Mount Olive Dr   (Kipling / Finch W.)     , Etobicoke North,Erica Catic-Kozo, 416-746-6847
First Stage - North Albion,2580 Kipling Ave   (Kipling / Finch W.)     , Etobicoke North,Carly Buczkowski, 416-394-4688
First Stage - West Humber,1675 Martin Grove Rd   (Martingrove / Finch W.)     , Etobicoke North,Rita Owusu-Afriyie, 416-394-7515
Flemingdon Early Learning & Child Care Centre,29 St Dennis Dr   (Don Mills / Eglinton)     , Don Valley East,Aspasia - Stacy Charalambous, 416-392-3170
Flemingdon Park Schoolage & Family Centre,150 Grenoble Dr   (Don Mills / Gateway Blvd.)     , Don Valley East,Mary Gatti, 416-429-6194
Fleming Jr YMCA,22 Littles Rd   (Sheppard / Morningside)     , Scarborough-Rouge Park,Frances Garcia, 416-287-8534
Follow The Child,"462 Birchmount Rd ,Unit #20   (Birchmount Rd. / Danforth Rd.)     ", Scarborough Southwest,Fareeha Aslam, 647-347-7651
Forest Grove Montessori Preschool,43 Forest Grove Dr   (Finch E. / Bayview)     , Don Valley North,Faribandeh Fahimi, 416-225-1666
Forest Manor YMCA,25 Forest Manor Rd   (Don Mills / Sheppard)     , Don Valley North,Marcia Lorefice, 416-773-1958
Frankland Day Care Centre,816 Logan Ave   (Logan / Danforth Ave.)     , Toronto-Danforth,Micheline Richard, 416-463-1413
Fraser Mustard Early Learning Centre,82 Thorncliffe Park Dr   (Overlea/Thorncliffe Pk Dr.)     , Don Valley West,Harjit Bansal, 416-421-7676
Fraser School - Community Day Care Centre,79 Manning Ave   (Queen W. / Bathurst)     , Spadina-Fort York,Maria Lawrence, 416-603-7372
Free Spirit Montessori Downtown,"500 Queens Quay W ,103e     ", Spadina-Fort York,Farima Sajadi, 416-825-8429
French Connection,40 Erskine Ave   (Yonge / Eglinton)     , Don Valley West,Mariam Roghani, 416-485-1678
Friendly Little Campus (2037711 Ontario Ltd),"3255 Lawrence Ave E ,A   (Lawrence E. / McCowan)     ", Scarborough Centre,Arosha Karunathilake, 416-431-3233
Friendly Little Campus Daycare 2,63 Orchard Park Dr   (Kingston Rd. / Morningside)     , Scarborough-Rouge Park,Salma Rahman, 416-282-5556
Friendly Times Child Care,2829 Keele St   (Keele / Wilson)     , York Centre,Nicole Julien, 416-631-7681
Friends Day Care Centre,60 Lowther Ave   (Bloor / Bedford)     , University-Rosedale,Lorna Meggitt, 416-922-7022
Future Stars Child Care Centre,3895 Lawrence Ave E   (Lawrence E. / Orton Park)     , Scarborough-Guildwood,Tamiko Gray, 416-431-3898
Galloway Early Learning & Child Care Centre,4299 Kingston Rd   (Galloway / Kingston Rd.)     , Scarborough-Guildwood,Latoya Waldron, 416-392-5229
Gan Chabad Preschool,147 Overbrook Pl     , York Centre,Yehudis Steiner, 416-635-9696
Gan Sameach,585 Glengrove Ave   (Eglinton Ave / Glengrove Ave W)     , Eglinton-Lawrence,Sarah Binder, 416-826-7955
Gan Shalom Preschool (OpChabad On The Avenue),157 Falkirk St     , Eglinton-Lawrence,Chana Gansburg, 416-546-8770
Gan Yeladim Day Care Centre,100 Elder St   (Sheppard W / Wilmington Ave.)     , York Centre,Galina Bagga, 416-638-1796
Garderie Chez Tante Laure,339 Alton Towers Cir   (McCowan/McNicoll)     , Scarborough North,Ntumba Badibanga, 416-284-7185
Garderie Chez Tante Laure 2,255 Coronation Dr     , Scarborough-Rouge Park,Sylvie Godin, 416-284-7185
Garderie Du Cercle De L'Amitie - Etobicoke,30 Thistle Down Blvd   (Islington & Albion)     , Etobicoke North,Sheryl Linda Henri, 416-740-1074
Garderie Du Soleil Levant,116 Cornelius Pky   (Keele St/ Lawrence West)     , York South-Weston,Sifa Mujynya Mupipi, 416-551-7072
Garderie La Farandole Felix-Leclerc,50 Celestine Dr   (Kipling / Dixon)     , Etobicoke Centre,Bibi Lollmohamud, 647-438-9139
Garderie La Farandole Gabrielle Roy,14 Pembroke St   (Jarvis / Shuter)     , Toronto Centre,Doina Iliescu, 416-363-1841
Garderie La Farandole - Pierre Elliott Trudeau,77 Grace St   (Bathurst / College)     , University-Rosedale,Charleine Mujynya, 416-603-6062
Garderie Mon Petit Jardin,500 Sandhurst Cir   (Finch E. / McCowan)     , Scarborough North,Yalda Lie Chatelain Aristilde, 416-397-6982
Garderie Rayon De Soleil,1 Ness Dr   (York Mills / Victoria Pk.)     , Don Valley East,Agnes Sesboue, 416-444-3464
Garfield Avenue Children's Circle,1 1/2 Garfield Ave   (Mount Pleasant / St. Clair E.)     , University-Rosedale,Anna Murray, 416-963-9242
Garrison Creek Community Day Care,222 Niagara St   (King W. / Bathurst)     , Spadina-Fort York,Thea Cappellacci, 416-703-0541
Gateway Day Care Centre,"100 Leeward Glenway ,Grnd Flr   (Gateway / Don Mills)     ", Don Valley East,Pricella Rasanayagam, 416-424-2419
General Mercer Early Learning Centre,30 Turnberry Ave   (Old Weston/St. Clair)     , Davenport,Regina Abreu, 416-658-1699
George Brown - Casa Loma Child Care Centre,160 Kendal Ave   (Davenport / Spadina)     , Toronto-St. Paul's,Debbie Wilson, 416-415-5000 ext 4616
George Brown - Elmlea,50 Hadrian Dr     , Etobicoke North,Venise Bennett, 416-393-8386
George Brown - Esther Exton Child Care Centre,55 Ameer Ave   (Bathurst / Lawrence W.)     , Eglinton-Lawrence,Joyce Gee, 416-785-2420
George Brown - Fashion District/Ryerson Child Care Centre,96 Denison Ave   (Dundas W. / Bathurst)     , Spadina-Fort York,Colette Kane, 416-415-2453
George Brown - Nelson Mandela Child Care Centre,440 Shuter St   (Yonge / Dundas)     , Toronto Centre,Raizell Slobodsky, 416-415-2450
George Brown - Queen Street Day Care Centre,1001 Queen St W   (Queen W. / Ossington)     , Spadina-Fort York,Carol Thorpe, 416-535-6701
George Brown - Richmond Adelaide Childcare Centre,"130 Adelaide St W ,Mezzanine Level   (York St. / Adelaide St.)     ", Spadina-Fort York,Colette Kane, 416-415-2453
George Brown - Rose Avenue Child Care Centre,675 Ontario St   (Parliament / Wellesley)     , Toronto Centre,Andrea Prifti, 416-922-8827
George Harvey Child Care Centre,1700 Keele St   (Eglinton / Keele)     , York South-Weston,Sindy Torres, 416-658-9244
George Webster Jr YMCA,50 Chapman Ave   (Chapman Ave / Avis Cres)     , Beaches-East York,Nelisha Karmali, 416-288-0997
Gerrard Early Learning Centre,163 Gerrard St E   (Gerrard St. E. / Jarvis)     , Toronto Centre,Lisa Gountouvas, 416-926-2208
Gibraltar Point Day Nursery Inc.,30 Centre Island Pk   (Hanlans Point / Toronto Island)     , Spadina-Fort York,Sonia Sommer, 416-393-1912
Gilder Satellite Early Learning & Child Care Centre,47 Gilder Dr   (Midland / Eglinton)     , Scarborough Centre,Theresa Persaud, 416-392-3766
Givins/Shaw School Community Day Care,49 Givins St   (Queen W. / Shaw)     , Spadina-Fort York,Jessica Adams, 416-531-4628
Glamorgan School Age YMCA,51 Antrim Cres   (Kennedy / Hwy. 401)     , Scarborough Centre,Kristina Harrison, 647-438-7124
Gledhill Avenue Child Care Centre,2 Gledhill Ave   (Danforth Ave. / Woodbine)     , Beaches-East York,Ashley Gayle, 416-467-8340
Glen Cameron For Kids,211 Cameron Ave   (Yonge / Sheppard)     , Willowdale,Mary Davis, 416-225-5788
"Glen Ravine Junior Public School, Extended Day Program",11 Gadsby Dr   (Eglinton Ave E & Brimley Rd)     , Scarborough Centre,416-803-2147 or email, susie.surette@tdsb.on.ca
Gold Circle Early Childhood Day Care Centre,25 Poynter Dr   (Islington / The Westway)     , Etobicoke Centre,Halrick Campbell, 416-241-2000
Golf Road School Child Care Centre Inc.,730 Scarborough Golf Club Rd   (Scarb. Golf Club / Lawrence E.)     , Scarborough-Guildwood,Ewa Kazmierczak, 416-289-1061
Good Shepherd Day Care Centre,2230 Birchmount Rd   (Birchmount / Sheppard E.)     , Scarborough-Agincourt,June Cheng, 416-293-5631
Grace Christian School - Day Nursery,201 Tempo Ave   (Victoria Park / Finch E.)     , Don Valley North,Mee Fung Ng, 416-502-1540
Grace Church On-The-Hill Child Care Centre,300 Lonsdale Rd   (Spadina / St. Clair W.)     , Toronto-St. Paul's,Ghazala Khan, 416-932-3502
Grand Avenue Montessori School - 600,600 The Queensway   (Queensway / Park Lawn Rd.)     , Etobicoke-Lakeshore,Anouk McCaffery, 416-247-9485
Grand Avenue Montessori School - 602,602 The Queensway   (Queensway / Park Lawn Rd.)     , Etobicoke-Lakeshore,Katherine Shave-Venture, 416-247-9485
Graydon Hall Child Care Services In Don Valley Business Park,"150 Ferrand Dr ,Suite 102   (Don Mills / Eglinton E.)     ", Don Valley East,Charlene Maikantis, 416-429-5444
Green Apple Kids,3605 Dundas St W   (Dundas W. / Jane)     , Parkdale-High Park,Linda Martin, 416-570-6096
Greenland Recreational After School Program,15 Greenland Rd   (The Donway East / Don Mills)     , Don Valley East,Kathy Allagas Da Silva, 416-444-7427
"Grey Owl Junior Public School, Extended Day Program",150 Wickson Trail   (Neilson Rd & Sheppard Ave E)     , Scarborough-Rouge Park,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Growing Steps Child Care Centre,4105 Lawrence Ave E   (Lawrence E. / Galloway)     , Scarborough-Guildwood,Andrea Bacon, 416-438-5989
Growing Tykes Learning Centre,5150 Dundas St W   (Dundas W. / Kipling)     , Etobicoke-Lakeshore,Gabriela Perez, 416-207-9259
Growing Tykes Learning Centre,112 Sedgemount Dr   (Markham Rd / Ellesmere)     , Scarborough-Guildwood,Jennifer Marsh, 416-438-4088
Growing Tykes Learning Centre  910 Markham Road,910 Markham Rd   (Markham / Ellesmere)     , Scarborough-Guildwood,Laura Derewonko, 416-438-4088
Guildwood Child Care,3969 Kingston Rd   (Guildwood Go Train Station)     , Scarborough-Guildwood,Dale Gauthier, 416-261-4476
Gulfstream Day Care Centre,20 Gulfstream Rd   (Weston Rd. / Sheppard)     , Humber River-Black Creek,Sandra Buttarazzi, 416-746-5714
Happy Day Child Care Centre,676 Jane St   (Jane / St. Clair W.)     , York South-Weston,Jodie Nowack, 416-528-1469
Harmony Childcare Centre,124 Northcliffe Blvd   (Dufferin / St. Clair)     , Davenport,Susie Pascuzzi, 416-656-8902
Hawthorne-On-Essex Day Care,50 Essex St   (Bloor W. / Christie)     , University-Rosedale,Elif Sonmezocak, 416-393-9291
Hawthorn School Day Care,101 Scarsdale Rd   (Leslie St / York Mills Rd)     , Don Valley East,Diana Rosas, 416-444-3054
Head Start Montessori,"2235 Sheppard Ave E ,105     ", Don Valley North,Naureen Shah, 416-756-7300
Heart Beatz Child Care - Solaris Site,141 Village Green Sq     , Scarborough-Agincourt,Ruth Mitchell, 416-321-1719
Heart Beatz - Halbert Child Care Site,25 Halbert Place   (McCowan Rd/Kingston Rd)     , Scarborough Southwest,Shiromie Ganesh, 647-808-1439
Heath And Ferndale Child Care Program,23 Ferndale Ave   (Yonge / St. Clair)     , Toronto-St. Paul's,Kim Elkas, 416-961-9678
Heritage Child Care & Early Learning Centre,44 Port Royal Trail   (Brimley / McNicoll)     , Scarborough North,Jenna Fitchett, 647-436-6670
Heritage Child Care & Early Learning - Milliken Site,130 Port Royal Trail     , Scarborough North,Amanda Skinner, 647-244-0404
Hester How Day Care Centre,"100 Queen St W ,1st Floor East Tower   (Queen / Bay)     ", Spadina-Fort York,Ingrid Ivis, 416-392-7981
High Park Early Learning Centre,17 High Park Ave   (Bloor / High Park Ave.)     , Parkdale-High Park,Maria Wyprzal, 416-760-9958
High Park Gardens Montessori School,35 High Park Gdns   (Parkside Dr & Howard Park Ave)     , Parkdale-High Park,Kaitlyn Lubniewski, 416-763-6097
High Park Jr YMCA,2665 Dundas St W   (Dundas / Annette)     , Parkdale-High Park,Fran Cugliari, 416-763-1195
Highview Wilson Child Care,22 Highview Ave   (Keele / Hwy. 401)     , York Centre,Shanika Richards, 416-245-6221
Hillcrest Progressive School,59 Plymbridge Rd   (Yonge / York Mills)     , Don Valley West,Chesler Kim, 416-489-8355
Hillmount Child Care,245 McNicoll Ave   (Don Mills / Finch)     , Don Valley North,Jenny Lung, 416-494-0877
Hillside Montessori School,76 Anglesey Blvd   (Islington / Rathburn)     , Etobicoke Centre,Diana Pace-Asciak, 416-695-3466
Hilltop Daycare Centre,160 North Bonnington Ave   (Kennedy / St. Clair)     , Scarborough Southwest,Gail Walker, 416-266-1085
Hippo Nursery School,729 St Clair Ave W   (St. Clair / Christie)     , Toronto-St. Paul's,Gloria Samuel, 416-651-6718
Holland-Bloorview Kids Rehab. - (Play & Learn Nursery),666 Eglinton Ave W   (Eglinton W. / Spadina)     , Eglinton-Lawrence,Mary Lou Lake, 416-782-1105
Holland-Bloorview Kids Rehab. (Scarborough Site),1 Wayne Ave   (Lawrence E. / Warden)     , Scarborough Centre,Michelle Weir, 416-759-8079
Hollywood All Stars Child Care,360 Hollywood Ave   (Bayview / Sheppard)     , Willowdale,Angela Iantorno, 416-221-7827
